DISTRICTS;YEAR;YIELD;NDVI_JUN;NDVI_JUL;NDVI_AUG;NDVI_SEP;NDVI_OCT;NDVI_NOV;LAI_JUN;LAI_JUL;LAI_AUG;LAI_SEP;LAI_OCT;LAI_NOV;ET_JUN;ET_JUL;ET_AUG;ET_SEP;ET_OCT;ET_NOV;LST_JUN;LST_JUL;LST_AUG;LST_SEP;LST_OCT;LST_NOV;RF_JUN;RF_JUL;RF_AUG;RF_SEP;RF_OCT;RF_NOV;YIELD_N1
Harda;2011;1.435728;0.308821;0.458855;0.504085;0.572233;0.449134;0.416577;0.446056;0.962795;1.076835;1.311158;1.17172;0.772071;2.708745;23.35161;23.80723;25.30521;11.85746;5.862384;315.9172;303.9959;300.7661;305.2507;308.9613;307.1862;4.610546;12.00832;10.44556;7.257168;0.068508;0.110321;1.38434
Hoshangabad;2011;0.641002;0.316243;0.42138;0.533696;0.620658;0.524248;0.457382;0.470334;0.713012;1.248532;1.548284;1.534592;1.01446;3.028302;22.7486;20.82824;27.90012;14.2385;7.514074;316.1271;304.9074;301.7071;303.7424;307.1371;305.0718;6.08907;17.21277;14.87454;9.454731;0.111925;0.135707;0.638356
Indore;2011;1.161002;0.245;0.33659;0.426653;0.477141;0.378663;0.398716;0.271201;0.554941;0.849539;1.197708;0.69013;0.550054;3.241505;18.8912;18.02177;19.88187;8.205276;5.083037;314.4775;305.0525;299.9853;305.1299;310.0048;307.2537;3.974468;11.82298;14.90821;4.249785;0.178663;0.192348;1.142712
Jabalpur;2011;0.955324;0.300087;0.361733;0.567479;0.630832;0.526236;0.444637;0.442016;0.650143;0.927725;1.59593;1.270767;0.813734;1.878041;19.99404;23.73747;28.10407;13.3409;7.027815;317.6155;304.4988;303.275;303.2703;305.8794;304.4763;7.560341;15.48306;14.56701;8.480786;0.29602;0.053596;1.187721
Jhabua;2011;0.681971;0.225332;0.214592;0.44039;0.589954;0.459677;0.377743;0.281675;0.28113;0.808506;1.647788;0.928033;0.624991;3.583746;18.29882;20.42447;24.58281;10.51597;5.373711;314.3543;307.1771;299.9368;303.4587;309.3847;309.0789;2.516352;12.32865;13.90393;5.480689;0.218796;0.09986;0.705396
Katni;2011;0.45;0.333428;0.418709;0.574897;0.66743;0.549584;0.449806;0.475397;0.746172;1.059729;1.627249;1.375728;0.826387;3.953287;20.9161;23.14978;29.1667;14.13167;7.429757;316.951;303.8606;301.7768;302.4197;304.6965;303.4245;7.243288;12.85108;13.5395;7.881904;0.330299;0.014122;0.410758
Mandla;2011;0.664832;0.34836;0.446593;0.544607;0.718565;0.627556;0.527631;0.57314;1.062799;0.943663;2.148324;2.01185;1.242969;2.105237;23.66436;24.10383;34.1542;20.17673;10.69202;317.1676;303.1601;302.7461;301.8533;303.6243;302.6408;6.445348;12.34736;18.15118;8.640852;0.481024;0.109365;0.654374
Mandsaur;2011;1.383;0.238333;0.436861;0.521608;0.446583;0.327701;0.377984;0.2126;0.766767;1.006345;1.111407;0.52712;0.504152;1.938852;14.45515;20.21698;21.56832;5.270831;4.286473;316.9096;308.7978;299.5324;305.5796;310.6708;306.3287;3.630949;11.70413;14.30126;6.516437;0.103002;0.041065;1.35729
Morena;2011;1.22449;0.261053;0.478788;0.501305;0.425369;0.341791;0.353106;0.354284;0.900907;0.960617;1.026208;0.580859;0.589397;3.739745;12.42693;21.54541;24.27022;5.547467;4.722246;316.8146;308.3164;304.4507;307.5702;310.4935;305.236;3.141524;7.681444;6.183178;6.788921;0.158959;0;1.484211
Narsinghpur;2011;1.630052;0.327423;0.393604;0.563268;0.639347;0.531189;0.470815;0.457494;0.779831;1.125323;1.485136;1.310331;0.89947;1.885816;20.12355;21.18294;27.25146;13.04856;7.405832;315.9993;306.7665;303.9386;304.3509;307.2146;305.275;7.35179;16.8151;14.57931;8.183415;0.262665;0.146398;2.195619
Neemuch;2011;0.830224;0.277684;0.466215;0.532967;0.505593;0.376303;0.373337;0.325659;1.022268;1.17173;1.223774;0.714001;0.576072;2.42145;14.29989;22.76663;23.71989;6.805801;4.906138;316.5797;306.9378;300.6929;305.1601;309.8376;306.3874;2.922772;9.889147;12.36769;7.22134;0.171594;0.015316;0.802708
Panna;2011;0.626208;0.348594;0.507351;0.605959;0.636376;0.504844;0.430652;0.55009;1.079867;1.317962;1.65716;1.289638;0.836337;6.921374;23.80324;27.13013;30.72708;12.73767;7.667225;316.0303;305.6001;302.4148;303.2263;306.4069;304.4147;7.231052;12.78924;10.63093;6.197616;0.277192;0.008848;1.117173
Raisen;2011;0.72603;0.30889;0.396165;0.509321;0.630011;0.504987;0.427607;0.360818;0.764655;1.041221;1.467207;1.253405;0.804482;3.131474;20.57421;21.09186;27.48717;12.80953;6.745214;317.5513;306.345;302.559;303.6418;307.5781;305.9206;6.994129;16.28521;12.29972;7.776619;0.003077;0.165012;0.917656
Rajgarh;2011;0.856001;0.246639;0.323003;0.49308;0.546431;0.36948;0.348884;0.202162;0.480884;0.878058;1.107867;0.607538;0.423987;2.633535;15.91527;18.79768;23.57928;6.400856;3.648171;318.2914;307.4796;302.2159;305.5753;310.8175;307.9887;5.12;12.87296;13.83014;7.470425;0.002753;0.092965;0.864575
Ratlam;2011;1.259999;0.232045;0.300081;0.454908;0.520196;0.367755;0.392313;0.209713;0.552303;0.838964;1.238972;0.645449;0.535491;2.480151;13.67796;18.51907;21.81363;7.009381;4.624256;315.2476;310.0232;300.566;305.5042;311.1505;308.2478;3.267261;11.75448;14.69915;4.949539;0.22367;0.031418;1.26757
Rewa;2011;0.514395;0.27281;0.382581;0.620985;0.612286;0.518027;0.411488;0.312796;0.69297;1.008724;1.231093;0.957215;0.629039;1.682317;16.51936;25.55795;25.20443;10.43138;6.421546;319.5269;307.6745;304.1864;302.7379;305.138;303.4386;6.887418;8.537787;10.87833;9.2138;0.186848;0;0.689706
Sagar;2011;0.996;0.285243;0.373684;0.563024;0.639048;0.463726;0.390348;0.343378;0.65645;1.324478;1.513204;0.982257;0.651591;4.441987;18.54531;23.08917;26.98055;10.12675;5.632681;318.2663;306.7584;301.7884;304.1835;308.5;306.4789;9.078294;14.60976;9.413023;6.740685;0.047447;0.075449;0.893782
Satna;2011;0.520903;0.341219;0.443391;0.603114;0.635097;0.516368;0.416314;0.459387;0.85849;1.183786;1.446802;1.131966;0.727524;5.636062;19.74524;27.12366;27.60201;11.71823;7.178027;316.5122;305.5231;302.8019;302.5684;305.2752;303.6341;7.933612;10.51853;11.17986;7.618124;0.35542;0;0.563415
Sehore;2011;1.235196;0.277924;0.369996;0.513189;0.579029;0.432798;0.405003;0.304722;0.641128;0.974053;1.254261;0.894651;0.629112;2.958927;19.74747;19.16287;23.82129;9.709297;5.477155;317.6196;306.237;301.4294;304.6198;309.3429;307.153;5.476018;13.83366;14.10729;7.357256;0.003419;0.131675;1.303176
Seoni;2011;0.999386;0.356991;0.431436;0.539452;0.678361;0.534381;0.458177;0.548943;0.985132;1.019509;1.827956;1.529696;0.977432;3.498605;22.01464;21.23797;30.1343;15.96662;8.493408;317.129;304.1678;302.2627;303.271;306.0526;305.0583;6.678864;12.56466;17.42018;9.255367;0.392718;0.193023;0.943476
Shahdol;2011;0.448879;0.360162;0.442974;0.532801;0.672034;0.594286;0.490481;0.614534;0.887198;0.99999;1.641356;1.550911;1.005013;4.280801;21.92019;23.96784;30.27967;16.96593;9.271419;315.8336;303.8902;301.9914;301.8567;303.5988;302.2128;7.407892;10.46556;14.17511;10.43316;0.581557;0.000634;1.787681
Shajapur;2011;1.114001;0.258379;0.355167;0.512531;0.486974;0.356403;0.362171;0.207085;0.628707;1.062694;0.955455;0.552163;0.45155;2.632263;15.75322;18.48006;20.2788;5.91196;3.916516;317.6015;307.449;301.3757;306.2744;311.6197;308.1931;5.139676;14.0724;16.22302;6.791591;0.001339;0.156569;1.117324
Sheopur;2011;1.032877;0.321533;0.514666;0.556541;0.593833;0.464637;0.406213;0.566043;1.248005;1.501185;1.741247;1.160443;0.795267;5.314445;19.13889;26.48377;32.65582;10.28924;6.490884;317.2827;306.0482;302.2022;304.3434;307.8021;305.2174;3.554656;9.511577;7.050703;6.695609;0.160426;0;1.728925
Shivpuri;2011;1.018981;0.295759;0.491538;0.616998;0.6122;0.450535;0.378396;0.434504;0.973545;1.540696;1.791429;0.975126;0.659331;5.245875;19.50398;25.95005;30.23429;9.188767;5.687503;316.6763;307.1086;302.6144;304.4591;308.1182;305.7081;5.443018;10.46097;7.695123;7.025768;0.062629;0;0.998972
Sidhi;2011;0.445545;0.335471;0.447708;0.608367;0.640403;0.565898;0.49042;0.507218;0.836423;1.12411;1.46584;1.364247;0.966754;4.026773;19.76184;26.33326;28.54298;14.8246;9.897705;316.7575;304.2506;302.7264;302.0715;303.6225;301.6565;6.209143;8.452145;13.02419;10.25043;0.525643;0.038466;0.516129
Tikamgarh;2011;0.799353;0.303412;0.471034;0.607419;0.589924;0.426549;0.357971;0.326162;0.779677;1.163499;1.234699;0.668888;0.451449;5.511131;17.2116;24.2717;24.17124;7.042289;4.807157;317.0405;306.77;303.3025;305.2187;309.1115;305.6739;6.835815;12.16529;7.960221;6.352975;0.033751;0;1.145236
Ujjain;2011;1.386;0.243989;0.346482;0.483512;0.437049;0.334255;0.404569;0.206953;0.629225;1.045283;0.975813;0.479277;0.494021;3.125879;18.27511;18.44685;18.80851;5.501188;4.53241;315.4003;307.6975;299.9667;306.7233;312.1055;308.0339;4.128535;12.33024;14.91785;4.849082;0.069932;0.164385;1.387512
Umaria;2011;0.349786;0.391239;0.505205;0.549801;0.694658;0.615387;0.534397;0.719923;1.054517;1.167697;1.739064;1.782245;1.218232;3.205399;25.81197;25.67422;31.92812;17.73012;10.5069;315.0673;302.652;301.7498;302.2793;303.7127;301.8646;7.267322;11.43736;14.76555;9.052151;0.370632;0.001257;0.675481
Vidisha;2011;1.199277;0.240039;0.328734;0.523335;0.52554;0.36527;0.340137;0.231408;0.421356;1.037012;1.138066;0.632103;0.486394;4.266168;17.76371;20.81688;22.667;6.72047;4.132066;317.2393;306.1254;302.1821;305.0469;310.9698;307.6102;6.695433;14.37542;9.414544;7.696986;0;0.057059;1.112429
Anuppur;2012;0.933863;0.358452;0.434819;0.524131;0.677431;0.593383;0.477271;0.538303;0.3317;0.879537;1.768325;1.414536;0.932948;4.809126;22.52501;23.41559;28.62759;18.25952;9.069739;315.5713;311.5646;301.7112;302.5709;302.9567;300.1024;4.341515;17.57521;15.68118;7.16201;0.828041;0.784512;0.411731
Ashoknagar;2012;2.085042;0.241188;0.3626;0.558422;0.523131;0.372065;0.335345;0.284983;0.393188;1.175748;1.617551;0.618272;0.43282;4.275204;18.52891;22.43402;23.98614;6.467386;4.241781;315.8789;313.914;301.684;304.9891;310.416;306.1776;1.29178;11.6399;11.09563;4.587772;0.003176;0.169432;1.178221
Balaghat;2012;1.363636;0.456175;0.475566;0.523964;0.770839;0.696958;0.604985;0.984033;0.377857;0.729031;2.266011;2.282625;1.691753;3.357868;23.62325;20.06031;33.14646;23.66369;12.67582;312.9279;304.6961;300.3242;301.4578;301.5287;299.4981;4.48;18.83175;15.35162;8.3536;0.648274;0.660269;1.689655
Barwani;2012;2.050705;0.18287;0.238343;0.455436;0.552991;0.44066;0.352182;0.266124;0.266825;0.865588;1.38365;0.966837;0.57508;2.573406;18.31864;19.18391;22.46905;11.39461;5.403207;314.6693;308.9166;304.3531;304.9832;309.3205;308.4322;2.587125;9.818074;7.228077;8.01343;0.636234;0.08462;0.348127
Betul;2012;1.850333;0.382777;0.331046;0.488085;0.670948;0.574909;0.476967;0.649607;0.404959;0.716001;1.705036;1.472324;1.000634;5.454965;21.35861;21.16116;31.04841;16.5085;7.873715;314.4411;302.384;301.2423;302.518;305.1284;303.8049;4.136079;14.2222;13.22679;8.342193;0.954018;0.455514;1.268837
Bhind;2012;0.666667;0.24948;0.306414;0.424379;0.381284;0.314565;0.360401;0.217071;0.27456;0.743635;0.775564;0.51636;0.657495;2.451861;8.732294;20.82769;21.43256;5.180755;4.728911;316.6278;308.7333;303.2694;307.5572;309.4088;302.5933;0.565639;9.365918;10.26214;4.812248;0.24582;0.030295;0.823529
Bhopal;2012;1.45269;0.298789;0.354589;0.483877;0.534873;0.394528;0.362509;0.272263;0.210261;0.721347;1.309732;0.633328;0.459707;4.217607;18.3015;19.03786;23.68224;7.757915;4.351699;315.9675;310.5565;301.8537;304.602;309.5088;305.4485;1.704225;14.09236;12.14269;4.888785;0.081997;0.193467;1.195364
Burhanpur;2012;0.968508;0.300204;0.313274;0.459045;0.622581;0.545657;0.435697;0.431697;0.361806;0.545546;1.494577;1.299916;0.843025;3.750457;20.32208;21.36081;29.07564;15.76897;7.897364;316.2222;308.7297;302.1597;304.1597;306.8662;305.9594;4.649099;10.20519;9.199626;6.844573;1.198373;0.292368;0.547061
Chhatarpur;2012;0.844275;0.322735;0.45101;0.620893;0.626832;0.471496;0.398555;0.33614;0.441139;0.958417;1.480113;0.849249;0.602575;6.647106;19.13183;25.92181;26.83816;9.62183;6.054177;317.6143;314.0505;300.8583;304.1048;308.0907;303.8754;1.445995;13.3458;15.73421;6.015621;0.099914;0.219299;0.416415
Chhindwara;2012;2.488515;0.365667;0.465674;0.508033;0.694769;0.553673;0.479362;0.64777;0.388658;0.809229;1.759088;1.461323;1.02741;4.978396;22.85047;20.35574;31.04349;16.65036;8.897852;315.7455;306.7997;301.0004;303.1777;304.897;303.3912;5.128727;17.34237;14.93385;7.937013;1.02375;0.41905;1.802658
Damoh;2012;1.264843;0.311838;0.511505;0.630067;0.636185;0.473149;0.404354;0.39514;0.358239;0.977611;1.756691;0.983142;0.698059;4.070252;20.52285;25.55862;28.43366;11.39519;6.378452;316.8572;312.1233;301.7951;304.1391;308.2633;304.6544;2.559444;14.82427;17.22071;4.582415;0.270024;0.255505;1.287631
Datia;2012;0.91125;0.288469;0.401996;0.452793;0.437278;0.352971;0.334574;0.24232;0.351447;0.612534;0.981153;0.567329;0.451071;4.581786;12.49438;21.23251;23.0709;5.83425;4.397452;316.5647;309.0021;303.0893;306.8443;309.309;303.1371;0.755842;8.587429;10.21265;5.111199;0.224078;0.14;0.64598
