DISTRICTS;YEAR;YIELD;NDVI_JUN;NDVI_JUL;NDVI_AUG;NDVI_SEP;NDVI_OCT;NDVI_NOV;LAI_JUN;LAI_JUL;LAI_AUG;LAI_SEP;LAI_OCT;LAI_NOV;ET_JUN;ET_JUL;ET_AUG;ET_SEP;ET_OCT;ET_NOV;LST_JUN;LST_JUL;LST_AUG;LST_SEP;LST_OCT;LST_NOV;RF_JUN;RF_JUL;RF_AUG;RF_SEP;RF_OCT;RF_NOV;YIELD_N1
Sagar;2012;1.307999;0.285243;0.373684;0.563024;0.639048;0.463726;0.390348;0.334443;0.311232;0.940817;1.694757;0.818671;0.604045;4.441987;18.54531;23.08917;26.98055;10.12675;5.632681;317.1681;314.4873;301.7144;304.4922;309.3104;305.4054;2.548351;12.92832;15.27045;4.086937;0.138764;0.236781;0.996
Satna;2012;0.509143;0.341219;0.443391;0.603114;0.635097;0.516368;0.416314;0.330182;0.440546;1.158188;1.580072;1.052646;0.700878;5.636062;19.74524;27.12366;27.60201;11.71823;7.178027;317.3852;312.941;302.7225;303.1925;305.7021;302.6254;1.76222;14.60532;13.78998;7.902204;0.568935;0.26672;0.520903
Sehore;2012;1.236211;0.277924;0.369996;0.513189;0.579029;0.432798;0.405003;0.328304;0.239246;0.732437;1.378924;0.770858;0.621884;2.958927;19.74747;19.16287;23.82129;9.709297;5.477155;316.5134;309.2923;302.1373;304.6082;309.2918;305.3164;2.18799;15.23508;12.01645;5.850683;0.175928;0.227156;1.235196
Seoni;2012;1.241189;0.356991;0.431436;0.539452;0.678361;0.534381;0.458177;0.564749;0.341441;0.841042;1.805321;1.436881;0.987283;3.498605;22.01464;21.23797;30.1343;15.96662;8.493408;315.8097;311.7308;300.9716;303.4328;305.3821;303.2286;4.528033;18.02083;13.8014;6.644231;0.870756;0.455652;0.999386
Shahdol;2012;0.957038;0.360162;0.442974;0.532801;0.672034;0.594286;0.490481;0.598081;0.340562;1.017495;1.667311;1.448923;1.027238;4.280801;21.92019;23.96784;30.27967;16.96593;9.271419;315.3836;311.2562;301.4151;302.903;303.7994;300.6092;3.176273;17.84128;15.264;8.28824;0.721618;0.546739;0.448879
Shajapur;2012;1.341999;0.258379;0.355167;0.512531;0.486974;0.356403;0.362171;0.237128;0.163988;0.849005;1.275858;0.527346;0.464612;2.632263;15.75322;18.48006;20.2788;5.91196;3.916516;316.3335;311.9759;300.8102;305.5437;311.1582;306.2161;0.986363;14.48691;11.32241;5.327792;0.201199;0.226607;1.114001
Sheopur;2012;1.303173;0.321533;0.514666;0.556541;0.593833;0.464637;0.406213;0.460706;0.605683;1.055913;2.078144;1.250235;0.835337;5.314445;19.13889;26.48377;32.65582;10.28924;6.490884;315.9805;315.6213;301.6153;304.5097;307.2767;303.13;0.597397;10.43453;13.19132;3.948224;0.160676;0.047775;1.032877
Shivpuri;2012;0.91135;0.295759;0.491538;0.616998;0.6122;0.450535;0.378396;0.379412;0.544146;0.99858;1.880743;1.008383;0.635549;5.245875;19.50398;25.95005;30.23429;9.188767;5.687503;315.5903;311.7843;301.8369;303.8712;307.1803;303.9706;0.792239;10.32685;11.70339;4.697316;0.060422;0.1351;1.018981
Sidhi;2012;0.552239;0.335471;0.447708;0.608367;0.640403;0.565898;0.49042;0.514058;0.459927;1.086785;1.501299;1.34353;0.968553;4.026773;19.76184;26.33326;28.54298;14.8246;9.897705;315.7846;312.6136;301.9698;302.8306;303.9558;300.2128;1.862313;14.49494;12.61196;10.54997;0.612784;0.3627;0.445545
Tikamgarh;2012;0.709836;0.303412;0.471034;0.607419;0.589924;0.426549;0.357971;0.271054;0.392579;0.961156;1.308233;0.632952;0.430229;5.511131;17.2116;24.2717;24.17124;7.042289;4.807157;316.7956;315.3086;301.4448;304.4819;308.695;304.1384;1.257029;11.80012;13.2197;4.540815;0.026065;0.2037;0.799353
Ujjain;2012;1.467;0.243989;0.346482;0.483512;0.437049;0.334255;0.404569;0.236131;0.227537;1.032105;1.16555;0.476793;0.524944;3.125879;18.27511;18.44685;18.80851;5.501188;4.53241;315.4356;308.2442;300.902;305.2661;311.5063;305.8592;0.977926;12.38247;8.657139;7.102669;0.151329;0.189864;1.386
Umaria;2012;0.336816;0.391239;0.505205;0.549801;0.694658;0.615387;0.534397;0.740157;0.406337;1.142283;1.930297;1.680685;1.247877;3.205399;25.81197;25.67422;31.92812;17.73012;10.5069;314.9473;313.8745;301.8741;303.1419;303.8617;300.6312;2.282833;17.98934;15.2775;7.427094;0.5685;0.363872;0.349786
Vidisha;2012;1.11088;0.240039;0.328734;0.523335;0.52554;0.36527;0.340137;0.240147;0.219626;0.889227;1.334888;0.564321;0.432888;4.266168;17.76371;20.81688;22.667;6.72047;4.132066;316.7219;315.2643;300.7795;304.9913;311.168;306.5599;1.786875;12.63659;10.87585;4.250163;0.014438;0.218227;1.199277
Anuppur;2013;0.7847;0.374887;0.394054;0.589055;0.609424;0.621781;0.549715;0.667307;0.64468;1.093886;1.847857;1.470518;1.178952;6.293878;20.75516;21.27227;27.50526;21.54258;11.39037;315.0655;303.1677;302.7377;303.0139;300.8386;299.9351;9.886767;11.24289;14.50852;5.105857;5.398367;0.002829;0.933863
Ashoknagar;2013;0.935884;0.256101;0.434555;0.542755;0.459036;0.37794;0.365077;0.309271;0.804414;1.098632;1.047259;0.70007;0.516831;4.038653;19.03292;23.83481;19.012;11.28159;3.7162;314.0578;303.5655;300.844;305.6393;308.3255;304.7965;10.2991;17.2102;14.55709;2.488688;1.943592;0;2.085042
Balaghat;2013;0.711111;0.363668;0.312058;0.509012;0.730365;0.712106;0.643579;0.670563;0.557561;0.812621;2.563713;2.177961;1.884088;3.791858;25.45533;28.4356;30.7439;26.34992;15.74069;312.9814;299.1671;299.8573;301.097;300.4864;299.544;12.19575;17.91976;18.15364;6.778593;5.698166;0.120066;1.363636
Barwani;2013;1.045927;0.15631;0.161643;0.488608;0.566328;0.55138;0.44091;0.214595;0.189658;0.813784;1.340485;1.119272;0.709376;5.105449;17.19421;24.03083;21.2887;17.20355;9.203896;314.0404;308.9086;301.5024;306.0666;307.3525;306.9899;10.7;11.01187;6.731583;7.692189;1.589998;0.011788;2.050705
Betul;2013;0.629707;0.192357;0.132357;0.427582;0.688457;0.622219;0.538196;0.338122;0.209906;0.702822;1.848504;1.818261;1.165832;2.588048;20.90163;29.02816;28.51471;24.0864;10.84883;316.0663;301.2704;298.6205;302.9729;303.4438;303.0514;15.59564;18.31631;16.23248;4.356895;2.91921;0.088206;1.850333
Bhind;2013;1.129032;0.255203;0.393281;0.481737;0.439936;0.396534;0.394904;0.281015;0.585264;0.795522;0.803744;0.72249;0.564576;1.129729;7.689203;9.690432;7.465251;6.289341;3.403953;313.1746;307.4791;304.1579;305.4093;306.1047;302.4731;6.526144;7.823826;11.10035;2.297973;3.404688;0;0.666667
Bhopal;2013;0.635041;0.245383;0.376402;0.430013;0.514454;0.439829;0.398831;0.25902;0.610109;0.638649;1.109863;0.752563;0.562643;5.660298;20.45244;24.12633;21.36752;13.04215;5.081899;316.3058;299.8073;301.2704;305.8619;308.0243;304.0409;11.33386;23.68033;14.23813;2.291715;1.466859;0;1.45269
Burhanpur;2013;1.430796;0.213775;0.137217;0.504084;0.673653;0.637711;0.5347;0.293783;0.163789;0.726966;1.865926;1.573716;1.062308;3.302432;17.09088;26.43904;24.33704;22.15665;12.42298;316;301.6763;300.356;304.4804;304.6682;304.7816;11.22238;9.834427;6.616842;5.928697;2.624068;0.044423;0.968508
Chhatarpur;2013;0.597676;0.317822;0.480379;0.612279;0.551735;0.467189;0.427201;0.372582;0.927092;1.095547;1.299398;0.974589;0.666595;2.729399;20.42937;20.68853;19.02988;11.51105;4.529049;314.9791;303.2258;300.58;304.4233;305.3804;302.9861;10.0209;13.98867;19.07838;2.267904;2.371408;0.018495;0.844275
Chhindwara;2013;0.769342;0.26711;0.183767;0.444362;0.644603;0.623692;0.550161;0.4087;0.299845;0.704439;1.791854;1.715838;1.212301;3.27068;21.54668;27.56433;27.90692;23.53567;11.66249;316.7249;301.0169;299.7569;303.4909;302.4136;302.5553;17.55668;19.02734;21.51269;4.304738;3.534414;0.224238;2.488515
Damoh;2013;0.504301;0.281341;0.482864;0.564438;0.569126;0.493978;0.422628;0.358774;0.891396;1.072732;1.576895;1.178887;0.79238;3.353405;23.72107;25.02704;25.71424;15.97941;6.211161;317.3321;302.6579;300.4256;304.459;304.8708;303.4725;13.29973;18.28137;22.36986;2.501845;2.683006;0.00223;1.264843
Datia;2013;0.817411;0.268197;0.393322;0.52893;0.514287;0.423499;0.398445;0.324575;0.636022;0.901922;1.097361;0.857038;0.562663;1.682526;9.574279;15.25609;12.17116;9.142094;3.564734;314.2541;306.811;304.0241;304.4122;306.322;302.9524;6.521822;9.52777;12.0718;2.269076;2.917423;0.024611;0.91125
Dewas;2013;0.762001;0.20948;0.175388;0.432321;0.571112;0.516523;0.48099;0.230597;0.228017;0.659424;1.238578;1.055869;0.813038;5.35711;19.14489;27.08047;23.86868;15.57969;7.62914;313.8696;300.1827;300.0235;306.5348;307.3809;303.9159;13.24592;19.87468;11.47463;3.840898;2.319424;0;1.598
Dhar;2013;1.482999;0.164486;0.190717;0.4683;0.583798;0.526822;0.430029;0.216444;0.206421;0.844238;1.509297;1.008145;0.656658;5.976082;19.14735;25.03622;23.88378;15.32086;7.274909;311.4909;305.5531;300.0113;305.0872;307.1975;305.5847;9.605325;16.12881;7.994462;7.339185;2.446249;0;1.593001
Dindori;2013;0.800388;0.31562;0.33106;0.568669;0.692636;0.677345;0.606708;0.569361;0.668414;0.874846;2.038594;2.091669;1.675771;3.18119;21.91158;22.92877;25.89756;24.90583;13.74307;314.4235;302.3923;301.1189;301.8436;300.3963;299.9927;10.64207;12.9628;17.36429;5.365672;5.1117;0.065985;0.600475
Guna;2013;0.600356;0.293334;0.377337;0.55911;0.541306;0.42485;0.376474;0.386741;0.649623;0.990284;1.306368;0.825708;0.53092;4.663188;20.66277;24.30992;21.53095;11.58591;3.847714;314.9885;303.236;302.1688;306.1928;308.2311;304.8304;9.665225;18.85003;13.99105;2.42615;1.769997;0.014581;1.276086
Gwalior;2013;1.380808;0.32921;0.444907;0.621517;0.581087;0.501718;0.427474;0.449669;0.859728;1.267255;1.636851;1.251634;0.725895;1.919696;11.35577;19.54136;16.65134;11.79674;4.668904;313.5583;305.3633;302.5509;304.3203;304.4695;302.3031;5.58964;8.923148;12.24079;2.060281;3.122927;0;1.794557
Harda;2013;0.266829;0.108369;0.108002;0.39339;0.582255;0.48588;0.462373;0.217313;0.134593;0.656431;1.42651;1.162645;0.785145;1.591064;17.18765;30.48629;28.27101;17.29081;7.487616;315.7681;300.6863;300.5562;305.7265;307.5787;304.3275;13.63859;22.23885;11.26271;4.645937;2.287896;0;1.207727
Hoshangabad;2013;0.098999;0.212491;0.176944;0.383641;0.557763;0.518147;0.468864;0.387776;0.244166;0.480063;1.38251;1.365787;0.997008;2.208475;23.60234;27.19704;25.66885;17.79288;8.014271;314.4292;299.4128;298.9872;305.5085;305.7862;302.724;15.31828;25.59955;19.97736;4.116073;2.641563;0.027462;0.861998
Indore;2013;1.007002;0.180403;0.174906;0.420757;0.493311;0.479999;0.402289;0.222581;0.303469;0.696731;1.293379;0.839167;0.612129;3.415997;18.49871;26.04665;24.32898;13.64238;6.627273;311.9108;304.8433;299.8394;305.5573;306.8469;304.1523;11.42245;16.40814;10.02756;4.873899;2.595599;0;1.454
Jabalpur;2013;0.27639;0.275596;0.338236;0.529684;0.624238;0.543428;0.47955;0.359215;0.595532;0.661293;1.536636;1.435165;0.965796;1.803122;20.82582;22.53237;25.83396;20.42629;8.345282;317.6834;302.7026;301.563;303.8172;303.2894;302.4764;13.85605;18.2384;23.17688;3.374605;3.668379;0.073363;1.335752
Jhabua;2013;0.782124;0.17735;0.143606;0.534351;0.634441;0.574733;0.473538;0.259746;0.191701;0.980656;1.579669;1.213648;0.79994;7.222658;17.94231;24.46772;24.58957;16.73054;8.259346;313.2251;297.1741;298.8328;303.7316;306.6973;305.4428;7.39216;18.78419;8.378305;8.366625;2.157953;0;0.986964
Katni;2013;1.333333;0.315898;0.415326;0.556549;0.631201;0.556848;0.480352;0.396214;0.764306;0.711349;1.725684;1.397716;0.988098;2.19;22.03611;20.24852;25.35423;18.62682;7.746093;316.5758;302.7295;300.5081;302.8488;302.3031;301.5689;10.6724;18.38082;22.02146;3.40193;3.800947;0.00312;0.769821
Mandla;2013;0.068565;0.336092;0.355371;0.536234;0.693309;0.647354;0.579513;0.526983;0.71505;0.779047;2.07152;2.05622;1.476141;3.017781;23.78357;24.39481;29.1863;26.04186;12.93356;315.9871;300.4397;301.0356;302.3827;301.3588;300.6863;11.27679;15.39998;20.40675;5.045989;5.06949;0.126;0.611379
Mandsaur;2013;1.106;0.214253;0.353618;0.467429;0.460699;0.417006;0.412178;0.228739;0.541023;0.815624;1.013963;0.585464;0.640059;5.534332;17.80271;25.21423;21.44865;9.428913;5.293819;314.5946;307.2488;299.2527;306.5904;308.0912;303.1146;5.934383;20.03131;12.31489;3.841072;1.90179;0.078274;1.777
Morena;2013;1.348889;0.26772;0.456566;0.580116;0.484999;0.440305;0.400962;0.330034;0.844525;1.26147;1.105325;0.833206;0.629566;0.882782;9.753447;16.64344;11.49187;7.094718;3.894403;313.5376;304.8764;302.9644;305.725;306.0998;302.8315;4.486221;7.418209;11.80411;1.986957;3.035582;0;1.28869
Narsinghpur;2013;0.393789;0.28986;0.297672;0.409851;0.571199;0.525432;0.469623;0.441745;0.477015;0.518303;1.452378;1.238007;0.907694;1.726006;22.55259;25.64524;24.5494;17.60491;7.485457;315.1456;301.3114;299.8228;305.6344;305.0626;303.3233;16.95843;20.07154;20.98535;2.729749;2.943122;0.082736;1.788522
Neemuch;2013;1.067298;0.28781;0.387516;0.569196;0.503035;0.461703;0.41929;0.391804;0.641958;1.134604;1.166815;0.80064;0.704697;5.133158;16.93841;23.05488;20.78934;10.41259;5.335434;314.6239;308.2842;301.0712;306.7091;307.2044;302.962;5.445365;19.39558;12.37129;3.496598;1.96495;0.041216;1.572325
Panna;2013;0.604817;0.334144;0.447678;0.614358;0.599399;0.524148;0.465632;0.443678;0.944134;1.178547;1.79558;1.331474;0.952455;1.504225;21.6077;21.86559;23.453;15.54417;6.686769;316.6933;302.9665;299.6166;303.5558;303.5353;302.4555;9.925251;17.38303;19.41471;2.423475;3.385615;0.002037;0.857369
Raisen;2013;0.240811;0.237541;0.354136;0.426538;0.560169;0.501656;0.451508;0.340141;0.570676;0.591923;1.462327;1.164304;0.821789;3.584769;21.21788;25.51953;24.59464;16.35777;6.744579;317.5109;303.7155;301.8941;305.1815;306.0449;303.5494;14.5961;24.43674;17.33363;2.090966;2.017416;0.005976;0.925451
Rajgarh;2013;0.577001;0.259432;0.355386;0.541638;0.514565;0.413811;0.418282;0.224335;0.5416;0.909953;1.055203;0.638244;0.571107;4.444267;21.77163;23.75124;20.95738;10.75466;5.032544;316.6541;309.1295;302.2078;307.684;309.4487;304.7952;9.619303;22.5833;13.55985;3.350394;1.498092;0.000774;1.228
Ratlam;2013;1.103998;0.198273;0.279196;0.451514;0.539353;0.495873;0.432835;0.218691;0.412132;0.684027;1.126937;0.866939;0.655042;7.012988;20.04342;25.07555;23.82523;12.99504;6.092375;313.9425;305.3559;299.4485;307.2994;308.2168;304.6643;6.271407;19.22595;9.644915;7.280696;2.923766;0.000486;1.5
Rewa;2013;0.940568;0.304653;0.456959;0.607972;0.612014;0.552594;0.471408;0.340514;0.734621;1.093234;1.339108;1.068824;0.775844;1.439277;18.05709;18.70503;18.05382;13.58722;5.651205;314.4543;302.8732;302.1533;303.2695;302.0667;301.2204;7.856075;9.812065;11.22129;3.574308;3.791519;0.002022;0.583232
Sagar;2013;0.426001;0.23266;0.459232;0.557848;0.532986;0.465971;0.413152;0.28718;0.799499;0.895219;1.330782;0.990342;0.67082;3.469302;22.38469;24.00339;23.24448;14.78373;5.3343;317.3023;303.9943;301.5264;304.7982;306.3519;304.3249;14.47197;18.40757;17.72375;2.011864;2.191181;0.047311;1.307999
Satna;2013;0.214014;0.304847;0.454057;0.600382;0.605418;0.53542;0.467896;0.378246;0.796997;1.095669;1.515014;1.226112;0.87117;1.514132;22.21304;20.76368;20.83778;14.60585;6.264616;316.1683;301.9777;300.1988;302.6187;302.1935;301.5749;9.738658;13.95261;15.00239;3.077178;4.036564;0;0.509143
Sehore;2013;0.482505;0.233655;0.205031;0.422872;0.52683;0.458111;0.460555;0.2666;0.304601;0.577854;1.10992;0.864064;0.764427;5.047139;19.39986;25.48595;22.75584;13.75818;6.900943;315.6341;300.405;299.8696;306.4134;308.4259;304.0409;12.75603;23.48872;14.70977;2.688764;2.080458;0.005875;1.236211
Seoni;2013;0.257926;0.31529;0.305584;0.477775;0.629609;0.59363;0.522047;0.417389;0.486296;0.805865;1.854407;1.514467;1.166956;2.582406;21.86708;28.18487;27.10632;22.32696;11.13393;317.9007;300.0375;300.4914;303.3717;302.6141;302.2295;15.21477;18.21263;19.80053;4.405641;4.487949;0.20079;1.241189
Shahdol;2013;1.120632;0.315201;0.402346;0.550249;0.651807;0.620024;0.567471;0.553929;0.729736;0.905793;1.76661;1.571103;1.31609;3.53961;22.25695;22.27901;24.2519;21.08963;11.50648;315.4061;302.5046;301.2943;302.9018;300.8584;299.9917;9.291291;13.53647;15.50106;3.900558;3.993012;0.008146;0.957038
Shajapur;2013;0.771999;0.293397;0.347323;0.497707;0.485169;0.413276;0.426286;0.250579;0.570704;0.889665;0.940586;0.61496;0.607573;5.942377;18.46093;24.72581;20.80206;10.76;5.534339;315.6871;308.7664;301.2177;307.7121;309.6123;304.5487;10.02425;23.10893;12.92747;3.445844;1.702267;0;1.341999
Sheopur;2013;1.405264;0.283056;0.424387;0.636554;0.602118;0.54874;0.453001;0.520833;0.820653;1.364669;1.841049;1.414659;0.932373;1.425885;12.91788;22.08189;18.56958;11.81327;5.615993;314.5836;305.2712;302.1304;305.4282;305.5692;302.7072;6.029148;12.36191;12.03858;2.229202;2.402792;0;1.303173
Shivpuri;2013;0.628705;0.312684;0.480505;0.638036;0.587077;0.500865;0.418414;0.485085;0.935847;1.515519;1.608747;1.122668;0.712433;2.910838;16.81557;26.61225;20.58163;12.46301;4.515386;312.9763;303.9666;301.6423;304.4749;305.9383;303.1893;7.046956;12.69741;13.72976;2.855463;2.626085;0.030212;0.91135
Sidhi;2013;0.492481;0.344367;0.477595;0.56923;0.637365;0.597874;0.559195;0.565125;0.839409;1.014804;1.516461;1.4022;1.195802;2.703615;22.73329;20.38855;21.01337;19.08347;9.823238;314.4793;304.3027;301.2973;303.0082;301.1168;299.9184;6.753826;10.14851;13.09489;3.978969;4.879194;0.074245;0.552239
Tikamgarh;2013;0.555;0.318246;0.461714;0.632001;0.550025;0.426914;0.393477;0.354529;0.793582;1.116416;1.156709;0.786751;0.499227;3.081336;14.89831;24.20603;17.83765;10.84995;3.265335;313.9096;304.4565;301.4543;304.3044;306.4498;303.1485;8.672393;13.62788;16.46412;2.345916;2.19105;0.069481;0.709836
Ujjain;2013;0.782;0.21387;0.342864;0.426913;0.476592;0.423366;0.392586;0.207281;0.517734;0.69147;0.976586;0.609847;0.56446;7.675515;18.31598;25.78627;22.09424;11.23211;5.70212;313.8304;307.3296;299.0221;307.5641;308.8801;304.3836;8.472958;17.83549;10.2049;4.949471;2.073149;0.002363;1.467
Umaria;2013;0.166719;0.343024;0.454277;0.595589;0.647775;0.643518;0.594897;0.682703;1.019633;0.772352;1.951733;1.692017;1.503024;2.189863;23.98885;22.77511;27.28795;21.53848;12.11567;315.6913;303.1191;301.517;302.7468;301.3351;300.2015;9.039755;16.16502;18.67909;3.675797;3.310694;0.002083;0.336816
Vidisha;2013;1.011708;0.189894;0.382332;0.479923;0.475564;0.372303;0.363984;0.215019;0.586145;0.761133;1.051489;0.635189;0.512734;3.800101;21.12717;23.8461;20.8705;11.86989;4.397971;317.6755;301.7121;301.5619;306.5002;308.9533;305.4803;12.35776;21.60179;14.1521;2.51312;1.408894;0;1.11088
Anuppur;2014;1.230769;0.364081;0.356021;0.535958;0.644835;0.6155;0.499516;0.783979;0.676055;1.042736;1.581503;1.589236;1.093924;3.602498;8.204825;21.81791;26.18853;17.43632;8.786761;313.4078;308.3465;305.31;303.037;302.775;300.9919;3.813846;10.88023;9.079673;8.34949;3.683356;0.00424;0.7847
Ashoknagar;2014;0.727273;0.23915;0.218902;0.608442;0.543625;0.344781;0.305606;0.318445;0.320758;1.214934;1.908928;0.73232;0.42842;0.668516;1.887386;25.56461;24.25963;6.083741;2.225491;316.9352;313.3574;307.9203;304.8857;310.6058;308.1362;1.345011;9.704354;6.809496;4.866021;0.221992;0.003125;0.935884
Balaghat;2014;0.714286;0.500605;0.291702;0.54947;0.76372;0.738482;0.636815;1.2835;0.557257;1.490148;2.335608;2.593211;1.840084;4.358227;15.19356;23.85826;34.88667;25.03782;13.37281;312.306;307.2122;302.0499;301.9836;301.6026;299.9525;4.10128;15.62753;10.27694;8.138797;2.489777;0.177;0.711111
Barwani;2014;1.333333;0.230622;0.277748;0.534255;0.561571;0.464651;0.396867;0.288001;0.236908;0.828752;1.458248;1.009223;0.646679;2.051953;4.224168;19.45763;22.69306;12.67208;6.070395;315.6349;312.9686;306.9426;305.883;309.1836;308.3478;0.902689;9.998042;7.128026;5.339499;0.513971;0.325365;1.045927
Betul;2014;2.06383;0.324806;0.240464;0.545;0.674599;0.563753;0.498343;0.648355;0.341326;1.429821;1.623395;1.616329;1.113241;1.698797;6.891917;23.77209;28.3187;18.5002;8.251061;316.7829;310.2972;305.423;304.1355;305.6452;304.9137;2.89399;12.97129;8.877336;5.322525;0.525742;0.45;0.629707
Bhind;2014;0.909091;0.195262;0.250684;0.444277;0.44636;0.336824;0.32078;0.255653;0.252507;0.797378;0.999228;0.565089;0.432896;0.001801;1.247652;6.039877;7.089367;3.007625;1.931406;319.0894;315.9198;309.247;308.0365;309.6717;304.499;0.700256;6.219067;6.042899;3.534677;0.46696;0;1.129032
Bhopal;2014;1.036364;0.245236;0.104135;0.537838;0.558517;0.398031;0.383666;0.30729;0.149535;0.919792;1.380349;0.77445;0.521416;0.642228;1.350189;21.91153;22.18134;8.339921;3.864657;316.8342;312.8205;307.5218;305.439;309.0185;307.0288;1.71357;15.49466;9.184028;6.368354;0.357803;0.161787;0.635041
Burhanpur;2014;0.62963;0.293387;0.227433;0.551283;0.674982;0.519731;0.483134;0.410992;0.271625;1.191063;1.621695;1.436922;0.926428;1.192363;5.027955;20.67178;27.3964;18.99175;8.977746;317.0183;313.3136;308.8135;305.1297;307.3913;307.0875;0.843585;9.526387;6.21482;5.361292;0.343122;0.473152;1.430796
Chhatarpur;2014;1.4375;0.275828;0.318897;0.61692;0.587851;0.44952;0.38766;0.464618;0.479149;1.193866;1.450704;0.886771;0.577775;0.886086;2.188883;21.26688;18.18751;7.799636;3.080569;317.6222;312.7471;306.716;306.5908;308.1967;306.113;1.646999;8.897097;6.122836;6.0389;0.776617;0.167842;0.597676
Chhindwara;2014;1.171717;0.34532;0.278074;0.558216;0.662005;0.609689;0.526796;0.69062;0.362289;1.548172;1.637608;1.617774;1.117353;2.712546;7.277957;23.62167;28.3801;18.68328;8.884596;317.0485;312.142;304.7973;304.7087;305.1101;304.0088;4.38171;15.524;8.65986;5.956834;1.077854;0.510948;0.769342
Damoh;2014;1.183673;0.289616;0.276219;0.59674;0.596404;0.454802;0.404743;0.53652;0.546183;1.209345;1.625791;1.039003;0.723835;1.269598;4.043754;23.60355;22.91864;10.92599;4.425036;318.154;311.477;306.7659;306.7823;308.0178;306.0841;3.062585;12.37278;6.726351;6.23633;0.696441;0.181089;0.504301
Datia;2014;1.272727;0.220719;0.292532;0.54255;0.541615;0.417174;0.320937;0.292732;0.32953;0.986725;1.383162;0.752;0.432619;0.094208;2.009303;12.38979;13.15934;5.045116;1.994502;318.4817;315.1344;307.1017;306.2694;308.983;305.0372;1.045219;6.520766;7.105973;4.578719;0.360604;0.002882;0.817411
Dewas;2014;0.676375;0.2715;0.193946;0.567379;0.597786;0.441476;0.440781;0.368139;0.17275;1.330535;1.884574;1.066039;0.691903;0.922104;2.709704;21.63095;25.90059;12.27495;5.97377;316.3743;313.6649;304.8808;304.0413;308.789;307.4779;0.941796;12.68463;8.548862;5.769111;0.417866;0.233014;0.762001
Dhar;2014;0.895911;0.22065;0.221929;0.581371;0.593927;0.429762;0.39244;0.249429;0.183108;1.035451;1.803638;0.940878;0.580269;1.337091;3.03507;20.31074;24.88267;11.18223;5.157042;315.3859;311.3625;305.3173;304.4317;309.329;308.1896;0.976349;10.33666;6.217688;5.758277;0.637676;0.171751;1.482999
Dindori;2014;1.1;0.439883;0.403252;0.541808;0.713191;0.668381;0.576699;1.065884;0.870981;1.189088;2.091394;2.162668;1.63591;4.853811;11.58076;22.52246;30.43559;20.88838;11.75045;313.4985;307.5939;302.8961;302.0675;302.3129;301.0934;3.94;13.04494;9.956243;7.481427;2.536867;0.168388;0.800388
Guna;2014;1.587413;0.254941;0.17425;0.554086;0.535961;0.39561;0.345353;0.351162;0.268198;0.891943;1.63189;0.82411;0.506759;0.659582;1.23375;22.96787;21.98979;6.903762;2.976514;317.369;313.8178;308.4703;306.1382;310.0283;307.4653;1.141382;10.6179;7.808906;4.913186;0.108932;0.026485;0.600356
Gwalior;2014;0.714286;0.241321;0.268183;0.5249;0.528031;0.457966;0.352153;0.360758;0.392705;0.986045;1.665357;1.049381;0.600886;0.101402;0.794283;11.25721;13.94901;6.684916;3.007478;316.9778;313.0043;307.9958;306.3912;308.0261;304.9432;0.938157;6.4366;7.605299;4.333649;0.303281;0;1.380808
Harda;2014;1.346591;0.253797;0.169659;0.659929;0.637419;0.420407;0.435967;0.394303;0.17276;1.689422;1.564703;1.226493;0.791999;0.474626;2.938238;24.17956;25.81609;13.68754;5.96892;317.9764;314.2844;307.0525;303.8966;307.6281;306.9465;1.389732;14.26168;7.453111;6.568144;0.383283;0.3018;0.266829
Hoshangabad;2014;1.650794;0.340242;0.140299;0.597001;0.661737;0.535972;0.469027;0.665706;0.354923;1.276474;1.871518;1.646192;1.076131;1.393351;5.233779;23.87074;28.19289;15.92423;7.001615;315.625;311.6724;306.794;303.6946;305.9856;304.3824;2.869606;17.21879;9.482628;7.631533;0.534949;0.281925;0.098999
Indore;2014;1.058559;0.231102;0.180182;0.541372;0.581998;0.397183;0.40555;0.275277;0.170346;1.248076;1.866263;0.838991;0.580543;0.947445;2.716197;20.40947;25.10052;10.07486;5.326778;315.8342;310.9083;304.287;303.0575;308.9376;307.1616;1.048789;9.865926;8.351525;5.467655;0.557641;0.233805;1.007002
Jabalpur;2014;1.186047;0.314652;0.213271;0.581149;0.632452;0.56005;0.480755;0.603636;0.467059;1.14274;1.629162;1.493715;0.934225;2.427171;5.519815;22.24185;25.59485;16.64669;6.816773;317.4249;311.1866;305.2622;305.4069;304.9604;303.8776;3.881638;15.35436;7.906167;6.322042;1.204777;0.23318;0.27639
Jhabua;2014;0.836066;0.244285;0.217224;0.51895;0.595648;0.46958;0.405589;0.333529;0.198621;1.030954;1.710134;1.037656;0.654956;2.044878;3.110594;20.71449;24.71584;11.76396;5.903597;315.2184;310.6698;303.9131;304.4891;308.886;308.1658;0.768109;11.1942;7.184674;5.756386;0.541047;0.0878;0.782124
Katni;2014;1;0.322954;0.340231;0.606426;0.637485;0.565584;0.464561;0.618954;0.572284;1.160381;1.683044;1.425523;0.91837;2.391985;5.833999;22.74535;24.05513;14.94309;6.01523;315.8806;310.9627;305.4859;305.1392;304.6313;303.41;3.034728;11.8968;6.401092;7.398091;1.583836;0.174348;1.333333
